Дата,length,w_time
2018-05-01 07:00:00,1.5439438722046084,227.25598360670267
2018-05-01 07:30:00,1.5550055419844282,227.25598360670267
2018-05-01 08:00:00,1.5306364799472885,244.70349982804942
2018-05-01 08:30:00,1.714776995624204,248.9705774235836
2018-05-01 09:00:00,1.9780363292568373,267.7605044535441
2018-05-01 09:30:00,2.227884247470169,302.9456640610858
2018-05-01 10:00:00,1.8535043515041532,302.9456640610858
2018-05-01 10:30:00,2.1322867862050727,294.85330180195456
2018-05-01 11:00:00,2.1131120629807696,313.78101386583126
2018-05-01 11:30:00,2.0541785589085193,332.65017187138295
2018-05-01 12:00:00,2.372546891474031,377.66872454144936
2018-05-01 12:30:00,2.491060768869784,377.66872454144936
2018-05-01 13:00:00,2.3483230158463417,377.66872454144936
2018-05-01 13:30:00,2.3475571961417705,377.66872454144936
2018-05-01 14:00:00,2.414224563364553,377.66872454144936
2018-05-01 14:30:00,2.2872792540574585,349.72949961410086
2018-05-01 15:00:00,2.53908562426715,349.72949961410086
2018-05-01 15:30:00,2.127695474402632,349.72949961410086
2018-05-01 16:00:00,2.5499313945908675,349.72949961410086
2018-05-01 16:30:00,2.3810267549939264,377.66872454144936
2018-05-01 17:00:00,2.133598490970829,313.78101386583126
2018-05-01 17:30:00,2.037242759435887,307.49005438101426
2018-05-01 18:00:00,2.2518775173543992,307.49005438101426
2018-05-01 18:30:00,1.941299778089364,319.571526828511
2018-05-01 19:00:00,2.2383397399804426,319.571526828511
2018-05-01 19:30:00,2.107362466777817,319.571526828511
2018-05-01 20:00:00,1.9470747780957645,319.571526828511
2018-05-01 20:30:00,1.9557289063910224,294.85330180195456
2018-05-01 21:00:00,1.9698494388381955,302.9456640610858
2018-05-01 21:30:00,1.6777233435758967,267.3819544705721
2018-05-01 22:00:00,1.7491470701592222,267.7605044535441
2018-05-01 22:30:00,1.537569052589622,248.9705774235836
2018-05-01 23:00:00,1.572912580889399,227.25598360670267
2018-05-01 23:30:00,1.6626324957069183,227.25598360670267
2018-05-02 00:00:00,1.3179841769822982,191.01452981254718
2018-05-02 07:00:00,1.4870085700104274,227.25598360670267
2018-05-02 07:30:00,1.481860254722942,227.25598360670267
2018-05-02 08:00:00,1.5835745404440997,248.9705774235836
2018-05-02 08:30:00,1.7400082378411261,248.9705774235836
2018-05-02 09:00:00,1.791391206255807,267.3819544705721
2018-05-02 09:30:00,2.182681738118013,302.9456640610858
2018-05-02 10:00:00,2.050704761992697,294.85330180195456
2018-05-02 10:30:00,2.2598325494075064,319.571526828511
2018-05-02 11:00:00,2.3415053199568927,313.78101386583126
2018-05-02 11:30:00,2.0840636044751233,332.65017187138295
2018-05-02 12:00:00,2.3572014889041597,377.66872454144936
2018-05-02 12:30:00,2.5092895294610535,377.66872454144936
2018-05-02 13:00:00,2.732254612755838,377.66872454144936
2018-05-02 13:30:00,2.759733098679908,377.66872454144936
2018-05-02 14:00:00,2.5503627710330554,377.66872454144936
2018-05-02 14:30:00,2.766774928679067,377.66872454144936
2018-05-02 15:00:00,2.503239246716241,377.66872454144936
2018-05-02 15:30:00,2.197871564423549,332.43774093887345
2018-05-02 16:00:00,2.207588044887309,349.72949961410086
2018-05-02 16:30:00,2.5391948386826892,349.72949961410086
2018-05-02 17:00:00,2.5852927913051014,354.5480739170419
2018-05-02 17:30:00,2.2525736088544397,354.5480739170419
2018-05-02 18:00:00,2.036550651474935,307.49005438101426
2018-05-02 18:30:00,2.1822540307711,319.571526828511
2018-05-02 19:00:00,2.0621519569372415,319.571526828511
2018-05-02 19:30:00,2.168022948174751,319.571526828511
2018-05-02 20:00:00,2.230519372980699,319.571526828511
2018-05-02 20:30:00,1.8398115306779248,294.85330180195456
2018-05-02 21:00:00,1.8722221114185238,302.9456640610858
2018-05-02 21:30:00,2.0040607591187034,267.3819544705721
2018-05-02 22:00:00,1.9079619035771596,267.7605044535441
2018-05-02 22:30:00,1.5294015518355115,248.9705774235836
2018-05-02 23:00:00,1.7143745814079159,244.70349982804942
2018-05-02 23:30:00,1.694770349319047,227.25598360670267
2018-05-03 00:00:00,1.233072576590819,191.01452981254718
2018-05-03 07:00:00,1.672881548302151,227.25598360670267
2018-05-03 07:30:00,1.626787096551904,227.25598360670267
2018-05-03 08:00:00,1.5177799392437472,244.70349982804942
2018-05-03 08:30:00,1.9045756320365088,267.7605044535441
2018-05-03 09:00:00,1.9253351833603778,267.3819544705721
2018-05-03 09:30:00,2.2589703372818293,302.9456640610858
2018-05-03 10:00:00,2.141905151155947,302.9456640610858
2018-05-03 10:30:00,2.1427464998420884,294.85330180195456
2018-05-03 11:00:00,2.1311277062858025,319.571526828511
2018-05-03 11:30:00,2.3434138492408683,319.571526828511
2018-05-03 12:00:00,1.9647112162394915,319.571526828511
2018-05-03 12:30:00,2.258253119919029,319.571526828511
2018-05-03 13:00:00,1.8878914772617028,307.49005438101426
2018-05-03 13:30:00,2.2656662876988096,319.571526828511
2018-05-03 14:00:00,1.9876376446608326,319.571526828511
2018-05-03 14:30:00,1.9727447088321506,319.571526828511
2018-05-03 15:00:00,2.1634220691347026,307.49005438101426
2018-05-03 15:30:00,2.378979957671434,320.3010935286765
2018-05-03 16:00:00,2.3855379623662576,319.571526828511
2018-05-03 16:30:00,2.23273651455671,307.49005438101426
2018-05-03 17:00:00,2.1026668999394404,294.85330180195456
2018-05-03 17:30:00,2.2263293848516565,319.571526828511
2018-05-03 18:00:00,2.0112215927091235,319.571526828511
2018-05-03 18:30:00,2.3373038487862794,319.571526828511
