,datetime,predict2,CashType,1y0
189551,2018-05-01 07:00:00,2.6797378063201904,deli,-1.0
189552,2018-05-01 07:30:00,3.100446939468384,deli,-1.0
189553,2018-05-01 08:00:00,2.6797378063201904,deli,-1.0
189554,2018-05-01 08:30:00,3.100446939468384,deli,-1.0
189555,2018-05-01 09:00:00,2.5886065006256103,deli,1.0
189556,2018-05-01 09:30:00,2.5165101528167724,deli,1.0
189557,2018-05-01 10:00:00,5.2926633834838865,deli,7.0
189558,2018-05-01 10:30:00,7.692663383483886,deli,23.0
189559,2018-05-01 11:00:00,6.468724727630615,deli,-1.0
189560,2018-05-01 11:30:00,6.468724727630615,deli,-1.0
189561,2018-05-01 12:00:00,7.774362087249756,deli,15.0
189562,2018-05-01 12:30:00,8.074362087249757,deli,17.0
189563,2018-05-01 13:00:00,7.697361183166504,deli,13.0
189564,2018-05-01 13:30:00,7.997361183166504,deli,15.0
189565,2018-05-01 14:00:00,8.147361183166504,deli,16.0
189566,2018-05-01 14:30:00,6.761600971221924,deli,-1.0
189567,2018-05-01 15:00:00,6.879999256134033,deli,9.0
189568,2018-05-01 15:30:00,6.505881309509277,deli,-1.0
189569,2018-05-01 16:00:00,6.149370193481445,deli,-1.0
189570,2018-05-01 16:30:00,6.149370193481445,deli,-1.0
189571,2018-05-01 17:00:00,5.967297554016113,deli,-1.0
189572,2018-05-01 17:30:00,5.967297554016113,deli,-1.0
189573,2018-05-01 18:00:00,5.6307759284973145,deli,-1.0
189574,2018-05-01 18:30:00,5.6307759284973145,deli,-1.0
189575,2018-05-01 19:00:00,5.6307759284973145,deli,-1.0
189576,2018-05-01 19:30:00,5.6307759284973145,deli,-1.0
189577,2018-05-01 20:00:00,5.6307759284973145,deli,-1.0
189578,2018-05-01 20:30:00,5.6307759284973145,deli,-1.0
189579,2018-05-01 21:00:00,5.281641483306885,deli,-1.0
189580,2018-05-01 21:30:00,5.281641483306885,deli,-1.0
189581,2018-05-01 22:00:00,3.8670194149017334,deli,-1.0
189582,2018-05-01 22:30:00,3.8670194149017334,deli,-1.0
189583,2018-05-01 23:00:00,2.9694981575012207,deli,-1.0
189584,2018-05-01 23:30:00,2.734318256378174,deli,-1.0
189585,2018-05-01 07:00:00,3.473549175262451,return,2.0
189586,2018-05-01 07:30:00,3.7335872650146484,return,-1.0
189587,2018-05-01 08:00:00,4.153771924972534,return,2.0
189588,2018-05-01 08:30:00,4.874030303955078,return,3.0
189589,2018-05-01 09:00:00,6.5516866683959964,return,6.0
189590,2018-05-01 09:30:00,7.339921760559082,return,7.0
189591,2018-05-01 10:00:00,9.63320713043213,return,7.0
189592,2018-05-01 10:30:00,9.949108695983886,return,4.0
189593,2018-05-01 11:00:00,12.90816593170166,return,15.0
189594,2018-05-01 11:30:00,11.899282264709473,return,7.0
189595,2018-05-01 12:00:00,12.3336332321167,return,7.0
189596,2018-05-01 12:30:00,11.733633232116699,return,3.0
