,datetime,predict2,Depart,1y0
53517,2018-05-03 23:00:00,13.1456585,12,9.0
53518,2018-05-03 23:30:00,11.417373,12,-1.0
53519,2018-05-04 00:00:00,4.094763,12,-1.0
53520,2018-05-04 07:00:00,4.094763,12,-1.0
53521,2018-05-04 07:30:00,7.4053354,12,4.0
53522,2018-05-04 08:00:00,9.437475,12,8.0
53523,2018-05-04 08:30:00,10.453704,12,6.0
53524,2018-05-04 09:00:00,12.23286,12,8.0
53525,2018-05-04 09:30:00,16.109177,12,14.0
53526,2018-05-04 10:00:00,18.420086,12,15.0
53527,2018-05-04 10:30:00,20.977901,12,14.0
53528,2018-05-04 11:00:00,26.135105,12,26.0
53529,2018-05-04 11:30:00,27.658028,12,27.0
53530,2018-05-04 12:00:00,30.36348,12,27.0
53531,2018-05-04 12:30:00,31.903173,12,33.0
53532,2018-05-04 13:00:00,31.575312,12,29.0
53533,2018-05-04 13:30:00,31.425312,12,28.0
53534,2018-05-04 14:00:00,30.558022,12,26.0
53535,2018-05-04 14:30:00,30.108023,12,23.0
53536,2018-05-04 15:00:00,29.358023,12,18.0
53537,2018-05-04 15:30:00,29.208021,12,17.0
53538,2018-05-04 16:00:00,25.845562,12,13.0
53539,2018-05-04 16:30:00,29.625711,12,40.0
53540,2018-05-04 17:00:00,25.158834,12,27.0
53541,2018-05-04 17:30:00,22.788986,12,13.0
53542,2018-05-04 18:00:00,24.14456,12,16.0
53543,2018-05-04 18:30:00,24.32471,12,19.0
53544,2018-05-04 19:00:00,23.24824,12,15.0
53545,2018-05-04 19:30:00,24.32839,12,24.0
53546,2018-05-04 20:00:00,23.86683,12,17.0
53547,2018-05-04 20:30:00,23.896982,12,19.0
53548,2018-05-04 21:00:00,25.015244,12,32.0
53549,2018-05-04 21:30:00,22.025942,12,17.0
53550,2018-05-04 22:00:00,17.376587,12,11.0
53551,2018-05-04 22:30:00,16.266138,12,13.0
53552,2018-05-04 23:00:00,14.795658,12,20.0
53553,2018-05-04 23:30:00,11.417373,12,-1.0
53554,2018-05-05 00:00:00,4.0917335,12,-1.0
53555,2018-05-05 07:00:00,4.0917335,12,-1.0
53556,2018-05-05 07:30:00,8.62827,12,-1.0
53557,2018-05-05 08:00:00,12.131346,12,-1.0
53558,2018-05-05 08:30:00,15.548401,12,-1.0
53559,2018-05-05 09:00:00,18.640388,12,-1.0
53560,2018-05-05 09:30:00,23.61322,12,-1.0
53561,2018-05-05 10:00:00,30.077414,12,-1.0
53562,2018-05-05 10:30:00,34.345497,12,-1.0
53563,2018-05-05 11:00:00,40.32982,12,-1.0
53564,2018-05-05 11:30:00,42.71363,12,-1.0
53565,2018-05-05 12:00:00,50.292435,12,-1.0
53566,2018-05-05 12:30:00,51.30771,12,-1.0
53567,2018-05-05 13:00:00,53.394936,12,-1.0
53568,2018-05-05 13:30:00,53.394936,12,-1.0
53569,2018-05-05 14:00:00,53.394936,12,-1.0
53570,2018-05-05 14:30:00,53.394936,12,-1.0
53571,2018-05-05 15:00:00,53.394936,12,-1.0
53572,2018-05-05 15:30:00,53.394936,12,-1.0
53573,2018-05-05 16:00:00,48.03256,12,-1.0
53574,2018-05-05 16:30:00,46.477657,12,-1.0
53575,2018-05-05 17:00:00,44.71815,12,-1.0
53576,2018-05-05 17:30:00,42.744694,12,-1.0
53577,2018-05-05 18:00:00,39.997135,12,-1.0
53578,2018-05-05 18:30:00,37.87724,12,-1.0
53579,2018-05-05 19:00:00,36.089672,12,-1.0
53580,2018-05-05 19:30:00,33.969776,12,-1.0
53581,2018-05-05 20:00:00,33.522552,12,-1.0
53582,2018-05-05 20:30:00,31.46228,12,-1.0
53583,2018-05-05 21:00:00,26.444723,12,-1.0
53584,2018-05-05 21:30:00,24.397148,12,-1.0
53585,2018-05-05 22:00:00,19.679674,12,-1.0
53586,2018-05-05 22:30:00,16.842514,12,-1.0
53587,2018-05-05 23:00:00,14.710044,12,-1.0
53588,2018-05-05 23:30:00,11.417373,12,-1.0
53589,2018-05-06 00:00:00,3.7367876,12,-1.0
