Дата,length,w_time
2018-05-01 07:00:00,1.2112950783803869,2.0965326694094117
2018-05-01 07:30:00,1.1720401797134867,1.8734996143854246
2018-05-01 08:00:00,1.9193760871951984,3.0936328089762437
2018-05-01 08:30:00,2.2184907363899073,3.747733833959282
2018-05-01 09:00:00,1.9018593106928867,3.1954774139525024
2018-05-01 09:30:00,2.114860551003967,3.517466017832766
2018-05-01 10:00:00,2.033882408133638,3.0380751014580074
2018-05-01 10:30:00,2.3383570776621436,4.076599485943653
2018-05-01 11:00:00,1.7759750349889558,2.941632553786448
2018-05-01 11:30:00,1.7815636527458674,2.895941545727661
2018-05-01 12:00:00,1.960324730715998,3.0626108319407157
2018-05-01 12:30:00,1.5577719408879933,2.536858816256148
2018-05-01 13:00:00,1.5577719408879933,2.776428737022969
2018-05-01 13:30:00,1.5577719408879933,2.2948390297436436
2018-05-01 14:00:00,1.5577719408879933,2.7311753580621643
2018-05-01 14:30:00,1.5579328264716144,2.796278458327397
2018-05-01 15:00:00,1.5579328264716144,2.5957447667967313
2018-05-01 15:30:00,1.5413836999420518,2.32258840791121
2018-05-01 16:00:00,1.5126524830181851,2.30489827833354
2018-05-01 16:30:00,1.5316256690921097,2.6872065985871307
2018-05-01 17:00:00,1.3001185428475828,2.1366578644575265
2018-05-01 17:30:00,1.3060358607572375,2.0311721455373983
2018-05-01 18:00:00,1.349579858585048,2.0321761013916944
2018-05-01 18:30:00,1.6039704461260416,2.7944294428577168
2018-05-01 19:00:00,1.8576203952124668,2.8962886217472135
2018-05-01 19:30:00,1.9761529751446827,3.211787142852187
2018-05-01 20:00:00,2.1218384924331204,3.777773235759103
2018-05-01 20:30:00,2.2242667589092,3.650287026338371
2018-05-01 21:00:00,2.4766847469626447,4.287652329646999
2018-05-01 21:30:00,2.5023773096176214,3.8932275808558585
2018-05-01 22:00:00,2.0438612686498563,3.3493996580927456
2018-05-01 22:30:00,1.722702590191395,2.9677878247291893
2018-05-01 23:00:00,1.3350301560091142,2.207042453499873
2018-05-01 23:30:00,1.2227678197867358,1.8600252686882623
2018-05-02 00:00:00,0.7763917938077128,1.3006896600647913
2018-05-02 07:00:00,1.0654084122815806,1.5740699415842094
2018-05-02 07:30:00,1.1720401797134867,1.9252353590279305
2018-05-02 08:00:00,2.036884320041668,3.0547775671077058
2018-05-02 08:30:00,2.3201176709665785,3.4530732473401438
2018-05-02 09:00:00,2.1406612431049346,3.8280729111334377
2018-05-02 09:30:00,2.314092231197414,3.6613755949571263
2018-05-02 10:00:00,1.7325040977160122,2.973603648992133
2018-05-02 10:30:00,2.1654310105674193,3.504213334673671
2018-05-02 11:00:00,1.8575401509713165,2.8220343241578907
2018-05-02 11:30:00,1.960324730715998,3.117794427163955
2018-05-02 12:00:00,1.7962697039266906,3.199583849330652
2018-05-02 12:30:00,1.5778476984327396,2.7983986332247346
2018-05-02 13:00:00,1.5778476984327396,2.5890719262608184
2018-05-02 13:30:00,1.5778476984327396,2.5637897265372516
2018-05-02 14:00:00,1.5291701833483768,2.723828006542262
2018-05-02 14:30:00,1.5412228143584306,2.624588080728305
2018-05-02 15:00:00,1.512621056818814,2.3329636379077345
2018-05-02 15:30:00,1.5412228143584306,2.6572900202886856
2018-05-02 16:00:00,1.5412228143584306,2.4906093607376327
2018-05-02 16:30:00,1.5126524830181851,2.5939813063374952
2018-05-02 17:00:00,1.3209398691681804,2.22838028723634
2018-05-02 17:30:00,1.3568831962902999,2.439622590395845
2018-05-02 18:00:00,1.423843817057249,2.3451329959899505
2018-05-02 18:30:00,1.423843817057249,2.172333600964896
2018-05-02 19:00:00,1.5272034561730898,2.5663938834632525
2018-05-02 19:30:00,1.929613734030171,2.9841971047791773
2018-05-02 20:00:00,1.8792567366933945,2.935250647617787
2018-05-02 20:30:00,2.116574483559096,3.551519994476901
2018-05-02 21:00:00,2.0956083615568617,3.706007233627532
2018-05-02 21:30:00,2.149926488843799,3.8098319934904943
2018-05-02 22:00:00,1.6739014170793973,2.805022220965415
2018-05-02 22:30:00,1.4965326302177606,2.3180051701579316
2018-05-02 23:00:00,1.4089006749430193,2.1467066993834463
2018-05-02 23:30:00,1.2475975061956937,2.1073385633865565
2018-05-03 00:00:00,0.8674066543503794,1.4475927907340151
2018-05-03 07:00:00,1.0181029345433417,1.6689350467094524
2018-05-03 07:30:00,0.7755911508447244,1.2451326032845758
2018-05-03 08:00:00,1.2695459857026072,2.1220248667436477
2018-05-03 08:30:00,1.305581684414486,2.028450212806541
2018-05-03 09:00:00,1.2441402236728174,2.198377132699863
2018-05-03 09:30:00,1.2529893861271808,1.8990517706993695
2018-05-03 10:00:00,1.3682321850169887,2.1589539768722616
2018-05-03 10:30:00,1.2935495657152802,2.083172902647639
2018-05-03 11:00:00,1.3503142191579975,2.0252151671830423
2018-05-03 11:30:00,1.381137568983124,2.3454174112217205
2018-05-03 12:00:00,1.381137568983124,2.295647792643322
2018-05-03 12:30:00,1.381137568983124,2.1390118276688743
2018-05-03 13:00:00,1.381137568983124,2.1776539922398794
2018-05-03 13:30:00,1.381137568983124,2.3696023123549583
2018-05-03 14:00:00,1.3503142191579975,2.1264963089505935
2018-05-03 14:30:00,1.3503142191579975,2.1253398049166257
2018-05-03 15:00:00,1.3143708920358779,2.193470507145306
2018-05-03 15:30:00,1.3143708920358779,2.040558272273524
2018-05-03 16:00:00,1.299466883624935,2.325135420318829
2018-05-03 16:30:00,1.299466883624935,2.289117388288007
2018-05-03 17:00:00,1.340925555467448,2.3599549348718307
