index,datetime,predict2,CashType
248186,2018-04-01 15:30:00,-1.0,return
248187,2018-04-01 16:00:00,-1.0,return
248188,2018-04-01 16:30:00,-1.0,return
248189,2018-04-01 17:00:00,-1.0,return
248190,2018-04-01 17:30:00,-1.0,return
248191,2018-04-01 18:00:00,-1.0,return
248192,2018-04-01 18:30:00,-1.0,return
248193,2018-04-01 19:00:00,-1.0,return
248194,2018-04-01 19:30:00,-1.0,return
248195,2018-04-01 20:00:00,-1.0,return
248196,2018-04-01 20:30:00,-1.0,return
248197,2018-04-01 21:00:00,-1.0,return
248198,2018-04-01 21:30:00,-1.0,return
248199,2018-04-01 22:00:00,-1.0,return
248200,2018-04-01 22:30:00,-1.0,return
248201,2018-04-01 23:00:00,-1.0,return
248202,2018-04-01 23:30:00,-1.0,return
248203,2018-04-01 07:00:00,11.972432136535645,usual
248204,2018-04-01 07:30:00,19.367691040039062,usual
248205,2018-04-01 08:00:00,76.21875610351563,usual
248206,2018-04-01 08:30:00,125.52848052978516,usual
248207,2018-04-01 09:00:00,165.3872100830078,usual
248208,2018-04-01 09:30:00,204.32471313476563,usual
248209,2018-04-01 10:00:00,231.41444702148436,usual
248210,2018-04-01 10:30:00,263.6056335449219,usual
248211,2018-04-01 11:00:00,264.92340393066405,usual
248212,2018-04-01 11:30:00,278.9610656738281,usual
248213,2018-04-01 12:00:00,314.77772216796876,usual
248214,2018-04-01 12:30:00,316.3777221679687,usual
248215,2018-04-01 13:00:00,315.8777221679687,usual
248216,2018-04-01 13:30:00,315.8777221679687,usual
248217,2018-04-01 14:00:00,313.38988037109374,usual
248218,2018-04-01 14:30:00,310.68988037109375,usual
248219,2018-04-01 15:00:00,314.88988037109374,usual
248220,2018-04-01 15:30:00,315.38988037109374,usual
248221,2018-04-01 16:00:00,315.5950866699219,usual
248222,2018-04-01 16:30:00,307.4706665039063,usual
248223,2018-04-01 17:00:00,283.28333435058596,usual
248224,2018-04-01 17:30:00,276.7379425048828,usual
248225,2018-04-01 18:00:00,242.6774444580078,usual
248226,2018-04-01 18:30:00,230.69744567871095,usual
248227,2018-04-01 19:00:00,202.03309631347656,usual
248228,2018-04-01 19:30:00,188.85311279296874,usual
248229,2018-04-01 20:00:00,167.1161682128906,usual
248230,2018-04-01 20:30:00,150.8221466064453,usual
248231,2018-04-01 21:00:00,136.71639099121094,usual
248232,2018-04-01 21:30:00,118.28467712402343,usual
248233,2018-04-01 22:00:00,83.1653839111328,usual
248234,2018-04-01 22:30:00,61.209232330322266,usual
248235,2018-04-01 23:00:00,43.02588577270508,usual
248236,2018-04-01 23:30:00,33.202368927001956,usual
248237,2018-04-01 07:00:00,-1.0,deli
248238,2018-04-01 07:30:00,-1.0,deli
248239,2018-04-01 08:00:00,-1.0,deli
248240,2018-04-01 08:30:00,-1.0,deli
248241,2018-04-01 09:00:00,-1.0,deli
248242,2018-04-01 09:30:00,-1.0,deli
248243,2018-04-01 10:00:00,-1.0,deli
248244,2018-04-01 10:30:00,-1.0,deli
248245,2018-04-01 11:00:00,-1.0,deli
248246,2018-04-01 11:30:00,-1.0,deli
248247,2018-04-01 12:00:00,-1.0,deli
248248,2018-04-01 12:30:00,-1.0,deli
248249,2018-04-01 13:00:00,-1.0,deli
248250,2018-04-01 13:30:00,-1.0,deli
248251,2018-04-01 14:00:00,-1.0,deli
248252,2018-04-01 14:30:00,-1.0,deli
248253,2018-04-01 15:00:00,-1.0,deli
248254,2018-04-01 15:30:00,-1.0,deli
248255,2018-04-01 16:00:00,-1.0,deli
248256,2018-04-01 16:30:00,-1.0,deli
248257,2018-04-01 17:00:00,-1.0,deli
248258,2018-04-01 17:30:00,-1.0,deli
248259,2018-04-01 18:00:00,-1.0,deli
248260,2018-04-01 18:30:00,-1.0,deli
248261,2018-04-01 19:00:00,-1.0,deli
248262,2018-04-01 19:30:00,-1.0,deli
248263,2018-04-01 20:00:00,-1.0,deli
248264,2018-04-01 20:30:00,-1.0,deli
248265,2018-04-01 21:00:00,-1.0,deli
248266,2018-04-01 21:30:00,-1.0,deli
248267,2018-04-01 22:00:00,-1.0,deli
248268,2018-04-01 22:30:00,-1.0,deli
248269,2018-04-01 23:00:00,-1.0,deli
248270,2018-04-01 23:30:00,-1.0,deli
248271,2018-04-02 00:00:00,-1.0,big
248272,2018-04-02 07:00:00,-1.0,big
248273,2018-04-02 07:30:00,-1.0,big
248274,2018-04-02 08:00:00,-1.0,big
248275,2018-04-02 08:30:00,-1.0,big
248276,2018-04-02 09:00:00,-1.0,big
248277,2018-04-02 09:30:00,-1.0,big
248278,2018-04-02 10:00:00,-1.0,big
248279,2018-04-02 10:30:00,-1.0,big
248280,2018-04-02 11:00:00,-1.0,big
248281,2018-04-02 11:30:00,-1.0,big
248282,2018-04-02 12:00:00,-1.0,big
248283,2018-04-02 12:30:00,-1.0,big
248284,2018-04-02 13:00:00,-1.0,big
248285,2018-04-02 13:30:00,-1.0,big
248286,2018-04-02 14:00:00,-1.0,big
248287,2018-04-02 14:30:00,-1.0,big
248288,2018-04-02 15:00:00,-1.0,big
248289,2018-04-02 15:30:00,-1.0,big
248290,2018-04-02 16:00:00,-1.0,big
248291,2018-04-02 16:30:00,-1.0,big
248292,2018-04-02 17:00:00,-1.0,big
248293,2018-04-02 17:30:00,-1.0,big
248294,2018-04-02 18:00:00,-1.0,big
248295,2018-04-02 18:30:00,-1.0,big
248296,2018-04-02 19:00:00,-1.0,big
248297,2018-04-02 19:30:00,-1.0,big
248298,2018-04-02 20:00:00,-1.0,big
248299,2018-04-02 20:30:00,-1.0,big
248300,2018-04-02 21:00:00,-1.0,big
248301,2018-04-02 21:30:00,-1.0,big
248302,2018-04-02 22:00:00,-1.0,big
248303,2018-04-02 22:30:00,-1.0,big
248304,2018-04-02 23:00:00,-1.0,big
248305,2018-04-02 23:30:00,-1.0,big
248306,2018-04-02 00:00:00,-1.0,extra
248307,2018-04-02 07:00:00,-1.0,extra
248308,2018-04-02 07:30:00,-1.0,extra
248309,2018-04-02 08:00:00,-1.0,extra
248310,2018-04-02 08:30:00,-1.0,extra
248311,2018-04-02 09:00:00,-1.0,extra
248312,2018-04-02 09:30:00,-1.0,extra
248313,2018-04-02 10:00:00,-1.0,extra
248314,2018-04-02 10:30:00,-1.0,extra
248315,2018-04-02 11:00:00,-1.0,extra
248316,2018-04-02 11:30:00,-1.0,extra
248317,2018-04-02 12:00:00,-1.0,extra
248318,2018-04-02 12:30:00,-1.0,extra
248319,2018-04-02 13:00:00,-1.0,extra
248320,2018-04-02 13:30:00,-1.0,extra
248321,2018-04-02 14:00:00,-1.0,extra
248322,2018-04-02 14:30:00,-1.0,extra
248323,2018-04-02 15:00:00,-1.0,extra
248324,2018-04-02 15:30:00,-1.0,extra
248325,2018-04-02 16:00:00,-1.0,extra
248326,2018-04-02 16:30:00,-1.0,extra
248327,2018-04-02 17:00:00,-1.0,extra
248328,2018-04-02 17:30:00,-1.0,extra
248329,2018-04-02 18:00:00,-1.0,extra
248330,2018-04-02 18:30:00,-1.0,extra
248331,2018-04-02 19:00:00,-1.0,extra
248332,2018-04-02 19:30:00,-1.0,extra
248333,2018-04-02 20:00:00,-1.0,extra
248334,2018-04-02 20:30:00,-1.0,extra
248335,2018-04-02 21:00:00,-1.0,extra
248336,2018-04-02 21:30:00,-1.0,extra
248337,2018-04-02 22:00:00,-1.0,extra
248338,2018-04-02 22:30:00,-1.0,extra
248339,2018-04-02 23:00:00,-1.0,extra
248340,2018-04-02 23:30:00,-1.0,extra
248341,2018-04-02 00:00:00,-1.0,info
248342,2018-04-02 07:00:00,-1.0,info
248343,2018-04-02 07:30:00,-1.0,info
248344,2018-04-02 08:00:00,-1.0,info
248345,2018-04-02 08:30:00,-1.0,info
248346,2018-04-02 09:00:00,-1.0,info
248347,2018-04-02 09:30:00,-1.0,info
248348,2018-04-02 10:00:00,-1.0,info
248349,2018-04-02 10:30:00,-1.0,info
248350,2018-04-02 11:00:00,-1.0,info
248351,2018-04-02 11:30:00,-1.0,info
248352,2018-04-02 12:00:00,-1.0,info
248353,2018-04-02 12:30:00,-1.0,info
248354,2018-04-02 13:00:00,-1.0,info
248355,2018-04-02 13:30:00,-1.0,info
248356,2018-04-02 14:00:00,-1.0,info
248357,2018-04-02 14:30:00,-1.0,info
248358,2018-04-02 15:00:00,-1.0,info
248359,2018-04-02 15:30:00,-1.0,info
248360,2018-04-02 16:00:00,-1.0,info
248361,2018-04-02 16:30:00,-1.0,info
248362,2018-04-02 17:00:00,-1.0,info
248363,2018-04-02 17:30:00,-1.0,info
248364,2018-04-02 18:00:00,-1.0,info
248365,2018-04-02 18:30:00,-1.0,info
248366,2018-04-02 19:00:00,-1.0,info
248367,2018-04-02 19:30:00,-1.0,info
248368,2018-04-02 20:00:00,-1.0,info
248369,2018-04-02 20:30:00,-1.0,info
248370,2018-04-02 21:00:00,-1.0,info
248371,2018-04-02 21:30:00,-1.0,info
248372,2018-04-02 22:00:00,-1.0,info
248373,2018-04-02 22:30:00,-1.0,info
248374,2018-04-02 23:00:00,-1.0,info
248375,2018-04-02 23:30:00,-1.0,info
248376,2018-04-02 00:00:00,-1.0,return
248377,2018-04-02 07:00:00,-1.0,return
248378,2018-04-02 07:30:00,-1.0,return
248379,2018-04-02 08:00:00,-1.0,return
248380,2018-04-02 08:30:00,-1.0,return
248381,2018-04-02 09:00:00,-1.0,return
248382,2018-04-02 09:30:00,-1.0,return
248383,2018-04-02 10:00:00,-1.0,return
248384,2018-04-02 10:30:00,-1.0,return
248385,2018-04-02 11:00:00,-1.0,return
248386,2018-04-02 11:30:00,-1.0,return
248387,2018-04-02 12:00:00,-1.0,return
248388,2018-04-02 12:30:00,-1.0,return
248389,2018-04-02 13:00:00,-1.0,return
248390,2018-04-02 13:30:00,-1.0,return
248391,2018-04-02 14:00:00,-1.0,return
248392,2018-04-02 14:30:00,-1.0,return
248393,2018-04-02 15:00:00,-1.0,return
248394,2018-04-02 15:30:00,-1.0,return
248395,2018-04-02 16:00:00,-1.0,return
248396,2018-04-02 16:30:00,-1.0,return
248397,2018-04-02 17:00:00,-1.0,return
248398,2018-04-02 17:30:00,-1.0,return
248399,2018-04-02 18:00:00,-1.0,return
248400,2018-04-02 18:30:00,-1.0,return
248401,2018-04-02 19:00:00,-1.0,return
248402,2018-04-02 19:30:00,-1.0,return
248403,2018-04-02 20:00:00,-1.0,return
248404,2018-04-02 20:30:00,-1.0,return
248405,2018-04-02 21:00:00,-1.0,return
248406,2018-04-02 21:30:00,-1.0,return
248407,2018-04-02 22:00:00,-1.0,return
248408,2018-04-02 22:30:00,-1.0,return
248409,2018-04-02 23:00:00,-1.0,return
248410,2018-04-02 23:30:00,-1.0,return
248411,2018-04-02 00:00:00,4.143686389923095,usual
248412,2018-04-02 07:00:00,12.401187896728516,usual
248413,2018-04-02 07:30:00,20.66962432861328,usual
248414,2018-04-02 08:00:00,66.78070373535157,usual
248415,2018-04-02 08:30:00,100.45865783691406,usual
248416,2018-04-02 09:00:00,124.68626251220704,usual
248417,2018-04-02 09:30:00,155.98228454589844,usual
248418,2018-04-02 10:00:00,175.27449951171874,usual
248419,2018-04-02 10:30:00,200.14480285644532,usual
248420,2018-04-02 11:00:00,214.7809814453125,usual
248421,2018-04-02 11:30:00,228.3096710205078,usual
248422,2018-04-02 12:00:00,233.59842224121093,usual
248423,2018-04-02 12:30:00,235.59842224121093,usual
248424,2018-04-02 13:00:00,235.59842224121093,usual
248425,2018-04-02 13:30:00,235.09842224121093,usual
248426,2018-04-02 14:00:00,230.45592346191407,usual
248427,2018-04-02 14:30:00,229.15592346191406,usual
248428,2018-04-02 15:00:00,225.95791320800782,usual
